cd,nm,corp_name,stock_code,industry,main_product,listed_date,settle_month,hpage,표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,증권구분,주식종류,액면가,상장주식수,yh_code,stock_code_ori
A001060,JW중외제약,JW중외제약,001067,의약품 제조업,"수액제,소화기궤양치료제,항생제,항암제 제조,도매",1976-06-14,12월,http://www.jw-pharma.co.kr,KR7001062009,001067,JW중외제약2우선주(신형),JW중외제약2우B,JWPHARMACEUTICAL(2PB),1998-04-13,주권,신형우선주,2500,102927,001067.KS,001060
A096760,JW홀딩스,JW홀딩스,096760,기타 금융업,의약품 수출입업,2007-07-31,12월,http://jw-holdings.co.kr,KR7096760004,096760,JW홀딩스 보통주,JW홀딩스,JW HOLDINGS CORPORATION,2007-07-31,주권,보통주,500,70444706,096760.KS,096760
A024120,KB오토시스,KB오토시스,024120,자동차 신품 부품 제조업,브레이크패드,1994-12-07,12월,http://www.kbautosys.com,KR7024120008,024120,KB오토시스,KB오토시스,"KB Autosys Co.,Ltd",1994-12-07,주권,보통주,500,11500000,024120.KQ,024120
A044180,KD,KD,044180,건물 건설업,건설사업(완성건물),2000-11-16,12월,http://kdcon.co.kr,KR7044180008,044180,KD,KD,KD Corporation,2000-11-16,주권,보통주,500,24848641,044180.KQ,044180
A016380,KG동부제철,KG동부제철,016380,1차 철강 제조업,"철강재(냉연강판,아연도강판,칼라강판,석도강판,선재류,강관,형강,봉강),비철금속 제조,도매",1986-02-03,12월,http://www.kgdongbusteel.co.kr,KR7016380008,016380,KG동부제철보통주,KG동부제철,KG DONGBUSTEEL,1986-02-03,주권,보통주,5000,100008897,016380.KS,016380
A016380,KG동부제철,KG동부제철,016385,1차 철강 제조업,"철강재(냉연강판,아연도강판,칼라강판,석도강판,선재류,강관,형강,봉강),비철금속 제조,도매",1986-02-03,12월,http://www.kgdongbusteel.co.kr,KR7016381006,016385,KG동부제철1우선주,KG동부제철우,KG DONGBUSTEEL(1P),1989-09-21,주권,구형우선주,5000,53385,016385.KS,016380
A001390,KG케미칼,KG케미칼,001390,기초 화학물질 제조업,"콘크리트혼화제, 비료, 친환경농자재, 수처리제",1989-08-25,12월,http://www.kgchem.co.kr,KR7001390004,001390,KG케미칼보통주,KG케미칼,KG Chemical,1989-08-25,주권,보통주,5000,13866096,001390.KS,001390
A033180,KH 필룩스,KH 필룩스,033180,전자부품 제조업,"전자부품(페라이트코아,트랜스포머,데코램프) 제조/온라인정보 제공/부동산 임대",2001-12-26,12월,http://www.feelux.com,KR7033180001,033180,KH 필룩스보통주,KH 필룩스,"KH FEELUX Co.,Ltd.",2001-12-26,주권,보통주,500,141294023,033180.KS,033180
A001940,KISCO홀딩스,KISCO홀딩스,001940,1차 철강 제조업,지주사업,1989-11-13,12월,http://www.kiscoholdings.co.kr,KR7001940006,001940,KISCO홀딩스보통주,KISCO홀딩스,KISCO Holdings,1989-11-13,주권,보통주,1000,18476380,001940.KS,001940
A025000,KPX케미칼,KPX케미칼,025000,기초 화학물질 제조업,"PPG,PU RESIN,우레탄수지,대향막박리재,반도체 CM PAD,Polyether Polyol,산업용기초화학제품,화공약품 제조,판매",1994-12-27,12월,http://www.kpxchemical.com,KR7025000001,025000,KPX케미칼보통주,KPX케미칼,KPXCHEMICAL,1994-12-27,주권,보통주,5000,4840000,025000.KS,025000
A092230,KPX홀딩스,KPX홀딩스,092230,기초 화학물질 제조업,지주회사,2006-10-12,12월,http://www.kpxholdings.com,KR7092230002,092230,KPX홀딩스보통주,KPX홀딩스,KPXHOLDINGS,2006-10-12,주권,보통주,5000,4224646,092230.KS,092230
A000040,KR모터스,KR모터스,000040,그외 기타 운송장비 제조업,"이륜차(오토바이) 제조,도매",1976-05-25,12월,http://www.krmotors.com,KR7000040006,000040,KR모터스보통주,KR모터스,KR MOTORS,1976-05-25,주권,보통주,500,96137368,000040.KS,000040
A093050,LF,LF,093050,봉제의복 제조업,"기성복, 의류, 잡화, 제조",2006-12-01,12월,http://www.lfcorp.com,KR7093050003,093050,LF보통주,LF,LF,2006-12-01,주권,보통주,5000,29240000,093050.KS,093050
A003550,LG,LG,003550,기타 금융업,지주회사,1970-02-13,12월,http://www.lg.co.kr,KR7003550001,003550,LG보통주,LG,LG Corp.,1970-02-13,주권,보통주,5000,157300993,003550.KS,003550
A003550,LG,LG,003555,기타 금융업,지주회사,1970-02-13,12월,http://www.lg.co.kr,KR7003551009,003555,LG1우선주,LG우,LG Corp.(1P),1988-11-18,주권,구형우선주,5000,3021620,003555.KS,003550
A034220,LG디스플레이,LG디스플레이,034220,전자부품 제조업,액정표시장치(TFT-LCD) 제조,2004-07-23,12월,http://www.lgdisplay.com,KR7034220004,034220,LG디스플레이보통주,LG디스플레이,LG Display,2004-07-23,주권,보통주,5000,357815700,034220.KS,034220
A051900,LG생활건강,LG생활건강,051900,기타 화학제품 제조업,"화장품,생활용품 제조,도매",2001-04-25,12월,http://www.lghnh.com,KR7051900009,051900,LG생활건강보통주,LG생활건강,"LGHOUSEHOLD&HEALTHCARE,LTD",2001-04-25,주권,보통주,5000,15618197,051900.KS,051900
A051900,LG생활건강,LG생활건강,051905,기타 화학제품 제조업,"화장품,생활용품 제조,도매",2001-04-25,12월,http://www.lghnh.com,KR7051901007,051905,LG생활건강1우선주,LG생활건강우,"LGHOUSEHOLD&HEALTHCARE,LTD(1P)",2001-04-25,주권,구형우선주,5000,2099697,051905.KS,051900
A373220,LG에너지솔루션,LG에너지솔루션,373220,일차전지 및 축전지 제조업,"2차전지 (소형,ESS,자동차전지)",2022-01-27,12월,,KR7373220003,373220,LG에너지솔루션보통주,LG에너지솔루션,LG Energy Solution,2022-01-27,주권,보통주,500,234000000,373220.KS,373220
A032640,LG유플러스,LG유플러스,032640,전기 통신업,"개인휴대통신서비스,음성서비스,데이터서비스,부가통신/단말기 도소매/프로그램 개발,자료제공",2008-04-21,12월,http://www.uplus.co.kr,KR7032640005,032640,LG유플러스보통주,LG유플러스,LG Uplus,2008-04-21,주권,보통주,5000,436611361,032640.KS,032640
A011070,LG이노텍,LG이노텍,011070,전자부품 제조업,기타 전자부품 제조업,2008-07-24,12월,http://www.lginnotek.co.kr,KR7011070000,011070,LG이노텍보통주,LG이노텍,LG Innotek,2008-07-24,주권,보통주,5000,23667107,011070.KS,011070
A066570,LG전자,LG전자,066570,통신 및 방송 장비 제조업,"이동통신단말기,C-TV,V.C.R.,컴퓨터,완전평면 TV,플라즈마 디스플레이 패널 TV,전자제품(세탁기외),CDMA(코드분할다중접속)이동통신,전자교환기,전송기기",2002-04-22,12월,http://www.lge.co.kr,KR7066570003,066570,LG전자보통주,LG전자,LGELECTRONICS,2002-04-22,주권,보통주,5000,163647814,066570.KS,066570
A066570,LG전자,LG전자,066575,통신 및 방송 장비 제조업,"이동통신단말기,C-TV,V.C.R.,컴퓨터,완전평면 TV,플라즈마 디스플레이 패널 TV,전자제품(세탁기외),CDMA(코드분할다중접속)이동통신,전자교환기,전송기기",2002-04-22,12월,http://www.lge.co.kr,KR7066571001,066575,LG전자1우선주,LG전자우,LGELECTRONICS(1P),2002-04-22,주권,구형우선주,5000,17185992,066575.KS,066570
A051910,LG화학,LG화학,051910,기초 화학물질 제조업,"유화/기능/합성수지,재생섬유소,산업재,리튬이온전지,평광판,PVC 제조,도매",2001-04-25,12월,http://www.lgchem.com,KR7051910008,051910,LG화학보통주,LG화학,"LGCHEM,LTD",2001-04-25,주권,보통주,5000,70592343,051910.KS,051910
